,Unnamed: 0,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier,AF_time_real,AF_beat,10_before_fib,3_before_fib,Fib_beat,5_after_fib,Periodicity,amp,off,Ham_dis_80
112,112,100,100,10000,0.25,25,0.55,10,0,"[18, 0.30000000000000004, 0.8]",False,full,False,3379376993,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3379376993",0.7907833333333334,0.041439608611111116,False,1,False,False,False,False,False,False,18.0,0.30000000000000004,0.8,9.847091229504484
113,113,100,100,10000,0.25,25,0.55,10,0,"[18, 0.30000000000000004, 0.8]",False,full,False,2066569503,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2066569503",0.7984399999999999,0.03908423306666668,False,1,False,False,False,False,False,False,18.0,0.30000000000000004,0.8,9.827409167455695
114,114,100,100,10000,0.25,25,0.55,10,0,"[19, 0.30000000000000004, 0.8]",False,full,False,4199441028,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4199441028",0.7920866666666667,0.04085471248888889,False,1,False,False,False,False,False,False,19.0,0.30000000000000004,0.8,9.228171581345844
115,115,100,100,10000,0.25,25,0.55,10,0,"[19, 0.30000000000000004, 0.8]",False,full,False,1552130787,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1552130787",0.7930566666666667,0.040025012344444465,False,1,False,False,False,False,False,False,19.0,0.30000000000000004,0.8,8.558911057819827
116,116,100,100,10000,0.25,25,0.55,10,0,"[19, 0.30000000000000004, 0.8]",False,full,False,3128485066,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3128485066",0.7955300000000001,0.040015019100000014,False,1,False,False,False,False,False,False,19.0,0.30000000000000004,0.8,9.568252444443438
117,117,100,100,10000,0.25,25,0.55,10,0,"[20, 0.30000000000000004, 0.8]",False,full,False,1457917923,2286,2186,2186,True,"(7604, 7804)","[[8.651679750198802, 9.486289618267488, 8.402138432122989, 8.192899090408595, 7.828739146663787, 8.776842657412004, 8.501486981633061, 8.630715341837426, 10.295242652633096, 10.700334531728862, 8.709810299572858, 8.110269452258372, 9.615455748289408, 11.262796043285332, 9.718001874848575, 9.355431384257072]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1457917923",0.7932299999999999,0.03994361154444445,True,1,7704,38.0,8.925107136588997,9.90179582797827,8.709810299572858,9.612390900587751,20.0,0.30000000000000004,0.8,8.823505443840105
118,118,100,100,10000,0.25,25,0.55,10,0,"[20, 0.30000000000000004, 0.8]",False,full,False,3045570712,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3045570712",0.7904066666666667,0.04068663462222223,False,1,False,False,False,False,False,False,20.0,0.30000000000000004,0.8,8.220109229840986
119,119,100,100,10000,0.25,25,0.55,10,0,"[20, 0.30000000000000004, 0.8]",False,full,False,254938671,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,254938671",0.7946133333333333,0.039080761600000014,False,1,False,False,False,False,False,False,20.0,0.30000000000000004,0.8,10.091852310632815
120,120,100,100,10000,0.25,25,0.55,10,0,"[1, 0.4, 0.8]",False,full,False,873621322,8480,8480,8480,True,"(7, 207)","[[27.34114960162541, 28.706817924472876, 26.475494466183548, 26.39476357734233, 28.326905588978715, 30.716445106815343, 29.013445159098218, 30.161135239698268, 32.09526261542256, 34.85836889977701, 37.010337207879694, 39.016990932097116, 41.16258039398597, 41.91582885809082, 41.029257853390426, 34.94168980955254]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,873621322",0.7832,0.05462020444444445,True,1,107,0.0,30.100011398844902,34.65465624102642,37.010337207879694,39.61326956942337,1.0,0.4,0.8,37.010337207879694
121,121,100,100,10000,0.25,25,0.55,10,0,"[1, 0.4, 0.8]",False,full,False,272726308,8077,8077,6784,False,"(2, 202)","[[23.349902541936842, 25.840254449211603, 29.558003911598888, 26.074070316257547, 24.153648465132864, 30.951969085082492, 32.522866449703706, 36.54295417724188, 39.608048025047005, 46.172900944268115, 44.6385950346409, 44.555327573589594, 44.7824521800204, 38.886900252346614, 38.35282289988892, 36.49539121926101]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,272726308",0.7816366666666666,0.05453512132222224,True,1,102,0.0,32.67392849092017,43.473181334652004,44.6385950346409,40.614578825021304,1.0,0.4,0.8,44.6385950346409
122,122,100,100,10000,0.25,25,0.55,10,0,"[1, 0.4, 0.8]",False,full,False,1929819610,7281,6980,6980,True,"(11, 211)","[[32.42576721909346, 33.76526245593167, 31.633582539823045, 31.57860562680584, 37.9415468267934, 44.10666307115884, 42.307370282811405, 31.10773791236983, 38.995597527234075, 52.58430559969675, 46.93414485732505, 48.77133232897024, 43.87778042910347, 53.25742146571189, 54.338343327300244, 58.83204315953663]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1929819610",0.7805633333333333,0.05531721598888889,True,1,111,0.0,38.48914399264031,46.171349328085284,46.93414485732505,51.81538414212449,1.0,0.4,0.8,46.93414485732505
123,123,100,100,10000,0.25,25,0.55,10,0,"[2, 0.4, 0.8]",False,full,False,636997557,7940,7940,7940,True,"(757, 957)","[[12.658869931862293, 12.593673401994256, 12.817175976009693, 14.31738992697299, 13.30762746390012, 16.010000685547126, 14.839794883862849, 17.635883596914063, 18.20863028531992, 19.276812641564412, 19.707924772805857, 16.204592428983634, 19.664689166117018, 20.105242580500718, 24.554914380317417, 21.97064637933034]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,636997557",0.7863333333333334,0.05245144444444445,True,1,857,4.0,15.57943486970487,19.06445589989673,19.707924772805857,20.500016987049825,2.0,0.4,0.8,20.126169932553594
124,124,100,100,10000,0.25,25,0.55,10,0,"[2, 0.4, 0.8]",False,full,False,4158547405,4339,4339,4339,True,"(157, 357)","[[11.488849850445256, 12.051314335589707, 12.986615183066121, 13.61653819293107, 14.400677694896485, 12.988456413292536, 13.48735644163762, 13.61936169528561, 14.49858133609953, 14.688060812604999, 14.948503151783232, 15.859775141295906, 18.511568299837272, 22.94754644053367, 23.060031661751115, 21.470636583346042]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,4158547405",0.7868933333333333,0.0528193264,True,1,257,1.0,13.524937737057469,14.711715100162587,14.948503151783232,20.369911625352803,2.0,0.4,0.8,22.054258231063883
125,125,100,100,10000,0.25,25,0.55,10,0,"[2, 0.4, 0.8]",False,full,False,3020296854,9888,9888,9888,True,"(8, 208)","[[21.263073145006402, 20.118544031651208, 18.17201756058535, 17.802538575912017, 20.96384408024181, 22.091700022328368, 20.107503283891024, 20.75733818695439, 23.907050399903568, 25.45044203938313, 26.18627081546319, 28.276650535684766, 30.408919430857466, 30.57456128006344, 26.82865018200199, 23.434395363993275]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3020296854",0.7822833333333334,0.053834453055555564,True,1,108,0.0,21.529120194665495,25.181254418249964,26.18627081546319,27.90463535852019,2.0,0.4,0.8,26.18627081546319
126,126,100,100,10000,0.25,25,0.55,10,0,"[3, 0.4, 0.8]",False,full,False,4004586806,6558,6360,6360,True,"(1, 178)","[[18.319754421439598, 17.770641488835768, 18.150987117325972, 18.12812820613492, 16.66165644389973, 18.410311253196138, 18.543405694123237, 17.36643380938683, 18.31883035170492, 18.280368568494456, 19.756252777526505, 17.93096429418899, 18.219754648717405, 18.870813308829824, 20.900882158416184, 20.198692519249345]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,4004586806",0.77855,0.05508000861111111,True,1,78,0.0,18.155160921097096,18.785150565908626,19.756252777526505,19.224221385880348,3.0,0.4,0.8,19.756252777526505
127,127,100,100,10000,0.25,25,0.55,10,0,"[3, 0.4, 0.8]",False,full,False,670068773,6387,6387,6387,True,"(806, 1006)","[[18.04469758990466, 18.562978846981142, 17.764594227868194, 17.758656986359743, 17.258130985317706, 17.434708835106726, 16.36804947079098, 17.213519778299112, 17.327096146485864, 16.40423010787458, 17.3201800326566, 18.213926716575465, 17.643833995160477, 17.570492941924602, 16.771214882907223, 17.376708549089496]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,670068773",0.7837,0.05378253222222222,True,1,906,4.0,17.405167546149574,17.017168762339015,17.3201800326566,17.515235417131453,3.0,0.4,0.8,23.951642885145223
128,128,100,100,10000,0.25,25,0.55,10,0,"[3, 0.4, 0.8]",False,full,False,1493457046,5295,5295,5295,True,"(2615, 2815)","[[15.742723186708623, 16.87861488539383, 16.850966031055172, 15.774806249051744, 18.152056607748584, 18.519425903695534, 18.10426380210176, 21.054815676179516, 20.694751201034705, 20.248747237937522, 21.656223615316584, 20.418208192847178, 17.695338369186388, 14.540583599999398, 9.845183166348273, 6.850443155633905]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1493457046",0.7858733333333333,0.05297288173333334,True,1,2715,13.0,18.51612676329305,20.86657401809627,21.656223615316584,13.869951296803027,3.0,0.4,0.8,19.89474467880867
129,129,100,100,10000,0.25,25,0.55,10,0,"[4, 0.4, 0.8]",False,full,False,2933790721,4319,4319,4319,True,"(734, 934)","[[5.267563214829247, 5.709029975032006, 5.899651036539464, 5.883005702662625, 6.24078267696069, 8.508224312533196, 8.65285357555529, 8.717618654196798, 8.82885711452609, 9.186266924055714, 9.680968641936296, 12.168359195768401, 12.496950847618985, 16.12687879015016, 13.833371949281906, 13.420134127496638]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2933790721",0.7830699999999999,0.053855263988888895,True,1,834,4.0,7.506801984438857,9.232030893506034,9.680968641936296,13.609138982063218,4.0,0.4,0.8,21.22545054651951
