,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,in AF?
0,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1656623906,8494,8355,8077,"(1213, 1273)",1.0,"140,80,2800,0.25,25,Normal Modes,10,1656623906",True
1,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,531418695,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,531418695",False
2,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,523515577,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,523515577",False
3,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3990106248,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3990106248",False
4,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2009853433,9343,9343,8920,"(1502, 1562)",1.0,"140,80,2800,0.25,25,Normal Modes,10,2009853433",True
5,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3671351888,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3671351888",False
6,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2947282813,2620,2620,2620,"(1771, 1831)",1.0,"140,80,2800,0.25,25,Normal Modes,10,2947282813",True
7,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2037099470,9901,9901,9901,"(374, 434)",1.0,"140,80,2800,0.25,25,Normal Modes,10,2037099470",True
8,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,4058128408,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,4058128408",False
9,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1140886935,3053,3053,3053,"(947, 1007)",1.0,"140,80,2800,0.25,25,Normal Modes,10,1140886935",True
