,settings,in_AF,coupling
121,"[50, 50, 10000, 0.3, 25]",True,0.8483783783783784
122,"[50, 50, 10000, 0.3, 25]",False,0.8482432432432432
123,"[50, 50, 10000, 0.3, 25]",False,0.8481081081081081
124,"[50, 50, 10000, 0.3, 25]",False,0.847972972972973
125,"[50, 50, 10000, 0.3, 25]",False,0.8478378378378378
126,"[50, 50, 10000, 0.3, 25]",True,0.8477027027027026
127,"[50, 50, 10000, 0.3, 25]",False,0.8475675675675676
128,"[50, 50, 10000, 0.3, 25]",False,0.8474324324324325
129,"[50, 50, 10000, 0.3, 25]",False,0.8472972972972973
130,"[50, 50, 10000, 0.3, 25]",True,0.8471621621621621
131,"[50, 50, 10000, 0.3, 25]",False,0.847027027027027
132,"[50, 50, 10000, 0.3, 25]",False,0.846891891891892
133,"[50, 50, 10000, 0.3, 25]",False,0.8467567567567568
134,"[50, 50, 10000, 0.3, 25]",False,0.8466216216216216
135,"[50, 50, 10000, 0.3, 25]",True,0.8464864864864865
136,"[50, 50, 10000, 0.3, 25]",False,0.8463513513513513
137,"[50, 50, 10000, 0.3, 25]",True,0.8462162162162162
138,"[50, 50, 10000, 0.3, 25]",False,0.846081081081081
139,"[50, 50, 10000, 0.3, 25]",False,0.845945945945946
140,"[50, 50, 10000, 0.3, 25]",True,0.8458108108108108
141,"[50, 50, 10000, 0.3, 25]",True,0.8456756756756757
142,"[50, 50, 10000, 0.3, 25]",False,0.8455405405405405
143,"[50, 50, 10000, 0.3, 25]",True,0.8454054054054054
144,"[50, 50, 10000, 0.3, 25]",False,0.8452702702702702
145,"[50, 50, 10000, 0.3, 25]",False,0.8451351351351352
146,"[50, 50, 10000, 0.3, 25]",True,0.845
147,"[50, 50, 10000, 0.3, 25]",True,0.8448648648648649
148,"[50, 50, 10000, 0.3, 25]",False,0.8447297297297297
149,"[50, 50, 10000, 0.3, 25]",False,0.8445945945945946
150,"[50, 50, 10000, 0.3, 25]",False,0.8444594594594594
151,"[50, 50, 10000, 0.3, 25]",False,0.8443243243243244
152,"[50, 50, 10000, 0.3, 25]",True,0.8441891891891892
153,"[50, 50, 10000, 0.3, 25]",False,0.8440540540540541
154,"[50, 50, 10000, 0.3, 25]",False,0.8439189189189189
155,"[50, 50, 10000, 0.3, 25]",False,0.8437837837837838
156,"[50, 50, 10000, 0.3, 25]",True,0.8436486486486486
157,"[50, 50, 10000, 0.3, 25]",False,0.8435135135135134
158,"[50, 50, 10000, 0.3, 25]",True,0.8433783783783784
159,"[50, 50, 10000, 0.3, 25]",True,0.8432432432432433
160,"[50, 50, 10000, 0.3, 25]",False,0.8431081081081081
161,"[50, 50, 10000, 0.3, 25]",True,0.8429729729729729
162,"[50, 50, 10000, 0.3, 25]",False,0.8428378378378378
163,"[50, 50, 10000, 0.3, 25]",False,0.8427027027027028
164,"[50, 50, 10000, 0.3, 25]",False,0.8425675675675676
165,"[50, 50, 10000, 0.3, 25]",False,0.8424324324324324
166,"[50, 50, 10000, 0.3, 25]",False,0.8422972972972973
167,"[50, 50, 10000, 0.3, 25]",False,0.8421621621621622
168,"[50, 50, 10000, 0.3, 25]",False,0.842027027027027
169,"[50, 50, 10000, 0.3, 25]",True,0.8418918918918918
170,"[50, 50, 10000, 0.3, 25]",False,0.8417567567567568
171,"[50, 50, 10000, 0.3, 25]",False,0.8416216216216217
172,"[50, 50, 10000, 0.3, 25]",False,0.8414864864864865
173,"[50, 50, 10000, 0.3, 25]",False,0.8413513513513513
174,"[50, 50, 10000, 0.3, 25]",False,0.8412162162162162
175,"[50, 50, 10000, 0.3, 25]",True,0.8410810810810811
176,"[50, 50, 10000, 0.3, 25]",False,0.840945945945946
177,"[50, 50, 10000, 0.3, 25]",True,0.8408108108108108
178,"[50, 50, 10000, 0.3, 25]",False,0.8406756756756757
179,"[50, 50, 10000, 0.3, 25]",False,0.8405405405405405
180,"[50, 50, 10000, 0.3, 25]",True,0.8404054054054054
181,"[50, 50, 10000, 0.3, 25]",False,0.8402702702702702
182,"[50, 50, 10000, 0.3, 25]",True,0.8401351351351352
183,"[50, 50, 10000, 0.3, 25]",False,0.84
184,"[50, 50, 10000, 0.3, 25]",False,0.8398648648648649
185,"[50, 50, 10000, 0.3, 25]",False,0.8397297297297297
186,"[50, 50, 10000, 0.3, 25]",True,0.8395945945945946
187,"[50, 50, 10000, 0.3, 25]",True,0.8394594594594594
188,"[50, 50, 10000, 0.3, 25]",True,0.8393243243243244
189,"[50, 50, 10000, 0.3, 25]",False,0.8391891891891892
190,"[50, 50, 10000, 0.3, 25]",True,0.8390540540540541
191,"[50, 50, 10000, 0.3, 25]",True,0.8389189189189189
192,"[50, 50, 10000, 0.3, 25]",False,0.8387837837837838
193,"[50, 50, 10000, 0.3, 25]",True,0.8386486486486486
194,"[50, 50, 10000, 0.3, 25]",False,0.8385135135135136
195,"[50, 50, 10000, 0.3, 25]",False,0.8383783783783784
196,"[50, 50, 10000, 0.3, 25]",False,0.8382432432432432
