,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,title,in AF?
14,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1893831513,"140,80,10000,0.25,25,Normal Modes,10,1893831513",False
15,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,4238656526,"140,80,10000,0.25,25,Normal Modes,10,4238656526",False
16,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1739660597,"140,80,10000,0.25,25,Normal Modes,10,1739660597",False
17,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,2947946594,"140,80,10000,0.25,25,Normal Modes,10,2947946594",False
18,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,3957591662,"140,80,10000,0.25,25,Normal Modes,10,3957591662",False
19,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,494510263,"140,80,10000,0.25,25,Normal Modes,10,494510263",False
20,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.02, 0.2]",False,False,False,1418413838,"140,80,10000,0.25,25,Normal Modes,10,1418413838",False
21,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.02, 0.2]",False,False,False,3900791150,"140,80,10000,0.25,25,Normal Modes,10,3900791150",False
22,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.02, 0.2]",False,False,False,3137487259,"140,80,10000,0.25,25,Normal Modes,10,3137487259",False
23,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.02, 0.2]",False,False,False,3093654175,"140,80,10000,0.25,25,Normal Modes,10,3093654175",False
24,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.02, 0.2]",False,False,False,2019981140,"140,80,10000,0.25,25,Normal Modes,10,2019981140",False
