,settings,in_AF,coupling,%_time_AF
162,"[50, 50, 1000, 0.4, 25]",False,0.9779729729729729,0.0
163,"[50, 50, 1000, 0.4, 25]",False,0.9778378378378378,0.0
164,"[50, 50, 1000, 0.4, 25]",False,0.9777027027027027,0.0
165,"[50, 50, 1000, 0.4, 25]",False,0.9775675675675676,0.0
166,"[50, 50, 1000, 0.4, 25]",False,0.9774324324324324,0.0
167,"[50, 50, 1000, 0.4, 25]",False,0.9772972972972973,0.0
168,"[50, 50, 1000, 0.4, 25]",False,0.9771621621621621,0.0
169,"[50, 50, 1000, 0.4, 25]",False,0.977027027027027,0.0
170,"[50, 50, 1000, 0.4, 25]",False,0.9768918918918919,0.0
171,"[50, 50, 1000, 0.4, 25]",False,0.9767567567567568,0.0
172,"[50, 50, 1000, 0.4, 25]",False,0.9766216216216216,0.0
173,"[50, 50, 1000, 0.4, 25]",False,0.9764864864864865,0.0
174,"[50, 50, 1000, 0.4, 25]",False,0.9763513513513513,0.0
175,"[50, 50, 1000, 0.4, 25]",False,0.9762162162162162,0.0
176,"[50, 50, 1000, 0.4, 25]",False,0.976081081081081,0.0
177,"[50, 50, 1000, 0.4, 25]",False,0.975945945945946,0.0
178,"[50, 50, 1000, 0.4, 25]",False,0.9758108108108108,0.0
179,"[50, 50, 1000, 0.4, 25]",False,0.9756756756756757,0.0
180,"[50, 50, 1000, 0.4, 25]",False,0.9755405405405405,0.0
181,"[50, 50, 1000, 0.4, 25]",False,0.9754054054054054,0.0
182,"[50, 50, 1000, 0.4, 25]",False,0.9752702702702702,0.0
183,"[50, 50, 1000, 0.4, 25]",False,0.9751351351351352,0.0
184,"[50, 50, 1000, 0.4, 25]",False,0.975,0.0
185,"[50, 50, 1000, 0.4, 25]",False,0.9748648648648649,0.0
186,"[50, 50, 1000, 0.4, 25]",False,0.9747297297297297,0.0
187,"[50, 50, 1000, 0.4, 25]",False,0.9745945945945946,0.0
188,"[50, 50, 1000, 0.4, 25]",False,0.9744594594594594,0.0
189,"[50, 50, 1000, 0.4, 25]",False,0.9743243243243244,0.0
190,"[50, 50, 1000, 0.4, 25]",False,0.9741891891891892,0.0
191,"[50, 50, 1000, 0.4, 25]",False,0.9740540540540541,0.0
192,"[50, 50, 1000, 0.4, 25]",False,0.9739189189189189,0.0
193,"[50, 50, 1000, 0.4, 25]",False,0.9737837837837838,0.0
194,"[50, 50, 1000, 0.4, 25]",False,0.9736486486486486,0.0
195,"[50, 50, 1000, 0.4, 25]",False,0.9735135135135136,0.0
196,"[50, 50, 1000, 0.4, 25]",False,0.9733783783783784,0.0
197,"[50, 50, 1000, 0.4, 25]",False,0.9732432432432433,0.0
198,"[50, 50, 1000, 0.4, 25]",False,0.9731081081081081,0.0
199,"[50, 50, 1000, 0.4, 25]",False,0.972972972972973,0.0
200,"[50, 50, 1000, 0.4, 25]",False,0.9728378378378378,0.0
201,"[50, 50, 1000, 0.4, 25]",False,0.9727027027027026,0.0
202,"[50, 50, 1000, 0.4, 25]",False,0.9725675675675676,0.0
203,"[50, 50, 1000, 0.4, 25]",False,0.9724324324324324,0.0
204,"[50, 50, 1000, 0.4, 25]",False,0.9722972972972973,0.0
205,"[50, 50, 1000, 0.4, 25]",False,0.9721621621621621,0.0
206,"[50, 50, 1000, 0.4, 25]",False,0.972027027027027,0.0
207,"[50, 50, 1000, 0.4, 25]",False,0.9718918918918918,0.0
208,"[50, 50, 1000, 0.4, 25]",False,0.9717567567567568,0.0
209,"[50, 50, 1000, 0.4, 25]",False,0.9716216216216216,0.0
210,"[50, 50, 1000, 0.4, 25]",False,0.9714864864864865,0.0
211,"[50, 50, 1000, 0.4, 25]",False,0.9713513513513513,0.0
212,"[50, 50, 1000, 0.4, 25]",False,0.9712162162162162,0.0
213,"[50, 50, 1000, 0.4, 25]",False,0.971081081081081,0.0
214,"[50, 50, 1000, 0.4, 25]",False,0.970945945945946,0.0
215,"[50, 50, 1000, 0.4, 25]",False,0.9708108108108108,0.0
216,"[50, 50, 1000, 0.4, 25]",False,0.9706756756756757,0.0
217,"[50, 50, 1000, 0.4, 25]",False,0.9705405405405405,0.0
218,"[50, 50, 1000, 0.4, 25]",False,0.9704054054054054,0.0
219,"[50, 50, 1000, 0.4, 25]",False,0.9702702702702702,0.0
220,"[50, 50, 1000, 0.4, 25]",False,0.9701351351351352,0.0
221,"[50, 50, 1000, 0.4, 25]",False,0.97,0.0
222,"[50, 50, 1000, 0.4, 25]",False,0.9698648648648649,0.0
223,"[50, 50, 1000, 0.4, 25]",False,0.9697297297297297,0.0
224,"[50, 50, 1000, 0.4, 25]",False,0.9695945945945946,0.0
225,"[50, 50, 1000, 0.4, 25]",False,0.9694594594594594,0.0
226,"[50, 50, 1000, 0.4, 25]",False,0.9693243243243244,0.0
227,"[50, 50, 1000, 0.4, 25]",False,0.9691891891891892,0.0
228,"[50, 50, 1000, 0.4, 25]",False,0.9690540540540541,0.0
229,"[50, 50, 1000, 0.4, 25]",False,0.9689189189189189,0.0
230,"[50, 50, 1000, 0.4, 25]",False,0.9687837837837838,0.0
231,"[50, 50, 1000, 0.4, 25]",False,0.9686486486486486,0.0
232,"[50, 50, 1000, 0.4, 25]",False,0.9685135135135136,0.0
233,"[50, 50, 1000, 0.4, 25]",False,0.9683783783783784,0.0
234,"[50, 50, 1000, 0.4, 25]",False,0.9682432432432433,0.0
235,"[50, 50, 1000, 0.4, 25]",False,0.9681081081081081,0.0
236,"[50, 50, 1000, 0.4, 25]",False,0.967972972972973,0.0
237,"[50, 50, 1000, 0.4, 25]",False,0.9678378378378378,0.0
238,"[50, 50, 1000, 0.4, 25]",False,0.9677027027027028,0.0
239,"[50, 50, 1000, 0.4, 25]",False,0.9675675675675676,0.0
240,"[50, 50, 1000, 0.4, 25]",False,0.9674324324324324,0.0
