,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,Ham_dis_AF,Ham_dis_meanx,per_%,title,mean,variance,in AF?,multiplier
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4293693417,1966,6059,6059,False,"(1, 191)","[[3.3666325721755044, 3.166082512822807, 3.5584377666109286, 3.933614741142939, 4.022355514067634, 4.225911679500481, 4.229930600589384, 4.748685354667295, 4.7364179217114355, 4.856797331755426, 4.707762196876957, 5.187490205349127, 6.033144621108, 5.958397435552618, 5.492493114153207, 5.919387667150983]]",4.707762196876957,61.5703125,1.0,"100,100,10000,0.25,25,Normal Modes,10,4293693417",0.5008900000000001,0.052075985677777784,True,1
11,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1855914947,7540,7540,7540,True,"(1, 166)","[[2.0661107849072864, 2.2682911250761384, 2.44930984789034, 2.0405445896187184, 1.943023813949615, 2.1305024816731333, 2.1516389504306663, 2.3933827307164246, 2.730438724033376, 2.461475564339296, 2.221716588202462, 2.2608495820652506, 2.0974528561386236, 2.0405971718795874, 2.1137535626932196, 2.2287660171457375]]",2.221716588202462,41.605633802816904,1.0,"100,100,10000,0.25,25,Normal Modes,10,1855914947",0.4975466666666667,0.05009487004444445,True,1
12,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,250943615,6464,6464,6464,True,"(1, 197)","[[3.5126132091497673, 3.7836913326563986, 3.885547649473904, 4.017323597731316, 4.293867947035884, 3.8408848842701437, 3.639324547182103, 3.5163262670786066, 3.615274309555685, 3.8297084310253524, 3.7444310500914404, 4.156549049391814, 3.8837941820493924, 3.7525989616454023, 4.388919386213969, 4.242077569710156]]",3.7444310500914404,68.25833333333334,1.0,"100,100,10000,0.25,25,Normal Modes,10,250943615",0.5018199999999999,0.05080979871111111,True,1
13,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,86577072,6037,6037,6037,True,"(1, 159)","[[1.712337223046938, 1.53642418066712, 1.652313715244947, 1.9746911363119797, 2.0879950151738877, 2.0724412367128933, 2.021747001357984, 2.15807256820573, 1.9962904235249024, 1.852751507566227, 1.8944144616064749, 2.0920281146899202, 2.3742507590114963, 2.006529175996711, 2.1784311166932766, 2.213412861124442]]",1.8944144616064749,37.3203125,1.0,"100,100,10000,0.25,25,Normal Modes,10,86577072",0.5016199999999998,0.05051093115555556,True,1
14,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3685480563,8333,8333,8333,True,"(1, 153)","[[2.0343904157044763, 2.238866594839809, 2.001314797925445, 2.059469638646757, 1.9607682427593902, 1.9295757498384254, 1.9152432009553952, 1.9670496603749452, 2.2001233816469123, 1.9963844218968685, 2.0392793240213862, 2.1855256070610527, 2.1328654692815343, 2.280433858505405, 2.257373104591559, 1.9294422307991441]]",2.0392793240213862,33.54794520547945,1.0,"100,100,10000,0.25,25,Normal Modes,10,3685480563",0.5016766666666667,0.05076952212222223,True,1
15,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1694064167,7003,7003,5129,False,"(1, 119)","[[0, 0, 0, 0, 0, 0, 0, 0, 0.23990863332475137, 0.3941123084315115, 0.5572733918087182, 0.7136117683542131, 0.7707738988925513, 0.8845614617378698, 0.8846905626003654, 1.1205043597010964]]",0.5572733918087182,2.7058823529411766,1.0,"100,100,10000,0.25,25,Normal Modes,10,1694064167",0.49699666666666664,0.05056020221111113,True,1
16,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1922893012,1554,1554,1554,True,"(1, 174)","[[2.0975225682160357, 2.084062372440475, 2.260831784745791, 2.3512811825568596, 2.3351463738398968, 2.422862000230878, 2.5664285732616396, 2.4956752716906894, 2.5378621004674558, 3.030652086763823, 2.9148059540902547, 2.717686415447287, 2.620688972923844, 2.7910974389108687, 2.865519662901594, 2.8799175999762667]]",2.9148059540902547,49.979166666666664,1.0,"100,100,10000,0.25,25,Normal Modes,10,1922893012",0.49909333333333333,0.05049895573333333,True,1
17,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2380047575,7702,7702,7819,False,"(1, 122)","[[0, 0, 0, 0, 0, 0.24435706440700666, 0.38828325857405815, 0.5413460589637238, 0.546665322849924, 0.7696184375276378, 0.9571012129974082, 1.1251923504382548, 1.2199238852134526, 1.3007846925323694, 1.2856040517117926, 1.4305757679060263]]",0.9571012129974082,4.6824324324324325,1.0,"100,100,10000,0.25,25,Normal Modes,10,2380047575",0.4982033333333333,0.04953954976666666,True,1
18,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1594015710,7661,7743,7743,False,"(8, 208)","[[3.516269304481798, 3.36887196027037, 3.810403075480747, 3.8140051367294747, 3.909619414590396, 3.5361724870278914, 3.644903093301218, 3.76173290262972, 4.362861012342445, 4.011054892477303, 3.3386191084070083, 3.5257288666534827, 3.6853943034526817, 3.4614568715310305, 3.795556612672244, 4.035449707290545]]",3.3386191084070083,64.50714285714285,1.0,"100,100,10000,0.25,25,Normal Modes,10,1594015710",0.5008633333333333,0.049793143544444446,True,1
19,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3775030998,6611,6425,6425,False,"(1, 137)","[[0.6248199740725324, 0.8479123160007177, 0.8970835260709881, 1.0027662570135605, 0.9849648264494324, 0.9998949745310344, 0.9016749699749295, 1.1226817653188947, 1.260646163028326, 1.5994970651037395, 1.7675901674313532, 1.9087688276740062, 1.9823762630072796, 1.7554105616357827, 2.0210347873231296, 1.9769591161525761]]",1.7675901674313532,10.975,1.0,"100,100,10000,0.25,25,Normal Modes,10,3775030998",0.4947033333333334,0.05046250087777778,True,1
20,100,100,10000,0.25,25,0.55,10,0,"[3, 0.2, 0.5]",True,False,False,2013934433,8606,8606,8606,True,"(1, 119)","[[0, 0, 0, 0, 0.23570226039551584, 0.36084391824351614, 0.5200253657393958, 0.5550861867678608, 0.8356449420272959, 0.9434913808524841, 1.0595763178513022, 1.0990552394947584, 1.234537036651225, 1.2883063817793239, 1.3929369826018692, 1.2289025373401226]]",1.0595763178513022,5.525974025974026,1.0,"100,100,10000,0.25,25,Normal Modes,10,2013934433",0.49788999999999994,0.05196477012222222,True,1
